OBJECTID,SUM_POP100,SUM_HU100,SUM_TotPop,SUM_HispPop,SUM_NonHispPop,SUM_NHOneRace,SUM_NH_White,SUM_NH_Black,SUM_NH_AmInd,SUM_NH_Asian,SUM_NH_HawPacI,SUM_NH_Other,SUM_NH_2orMore,SUM_VAP_TotPop,SUM_VAP_HispPo,SUM_VAP_NonHis,SUM_VAP_NHOneR,SUM_VAP_NH_Whi,SUM_VAP_NH_Bla,SUM_VAP_NH_AmI,SUM_VAP_NH_Asi,SUM_VAP_HawPac,SUM_VAP_NH_Oth,SUM_VAP_NH_2or,SUM_TotHousing,SUM_OccHU,SUM_VacantHU,Shapearea,Shapelen,POLYID,Name
74,19931,15091,19931,2620,17311,16994,13774,964,31,2186,12,27,317,18184,2295,15889,15631,12756,867,31,1944,9,24,258,15091,12793,2298,82730488.27418,48738.213352,87,GREENWAY / UPPER KIRBY AREA
75,13295,5824,13295,1911,11384,11294,1343,9252,17,586,2,94,90,10837,1344,9493,9425,1296,7436,17,581,2,93,68,5824,4352,1472,80657743.599897,40699.212526,67,GREATER THIRD WARD
76,47958,25981,47958,20794,27164,26341,15284,7227,84,3584,12,150,823,39099,15574,23525,22907,13580,6050,63,3094,12,108,618,25981,22631,3350,150592564.635153,70198.432789,20,MID WEST
77,11276,4778,11276,9070,2206,2122,1279,570,28,230,2,13,84,8474,6551,1923,1859,1184,448,16,200,2,9,64,4778,3917,861,52277177.293589,31864.77913,64,GREATER EASTWOOD
78,8526,5568,8526,1309,7217,7057,4776,1679,24,549,3,26,160,8008,1106,6902,6767,4663,1531,24,524,3,22,135,5568,4658,910,34689812.900351,27528.497222,62,MIDTOWN
79,20721,11416,20721,2759,17962,17522,12283,1831,41,3312,14,41,440,16722,2070,14652,14383,10098,1515,39,2691,12,28,269,11416,9961,1455,87016591.404687,40086.761849,32,BRAESWOOD PLACE
80,19700,9361,19700,2756,16944,16623,12719,1779,33,2029,3,60,321,15562,1936,13626,13439,10423,1369,29,1578,3,37,187,9361,8646,715,114506806.204727,53183.902386,31,MEYERLAND AREA
81,20448,7299,20448,15439,5009,4905,2842,1745,31,271,8,8,104,13883,9898,3985,3934,2481,1196,23,220,8,6,51,7299,6221,1078,83650629.341009,38704.284534,79,EDGEBROOK AREA
82,17684,6322,17684,17054,630,605,388,143,21,32,2,19,25,12419,11877,542,526,349,125,15,27,2,8,16,6322,5395,927,70521410.964936,40738.537285,82,MAGNOLIA PARK
83,14007,8069,14007,1352,12655,12520,11271,457,22,751,4,15,135,11706,1132,10574,10494,9461,378,22,621,4,8,80,8069,7107,962,100667673.065364,63736.498437,23,AFTON OAKS / RIVER OAKS AREA
84,39031,19959,39031,8992,30039,29345,19291,7436,76,2419,24,99,694,30736,6290,24446,23994,16412,5388,63,2049,19,63,452,19959,17506,2453,187515217.919351,63745.299881,18,BRIARFOREST AREA
85,28957,19231,28957,5738,23219,22701,19810,1109,48,1650,14,70,518,26457,4747,21710,21324,18652,1029,44,1526,14,59,386,19231,17069,2162,91165504.901523,38737.329066,24,NEARTOWN - MONTROSE
86,45294,20069,45294,5951,39343,38530,30868,2575,81,4882,20,104,813,33574,3947,29627,29135,23786,1667,59,3542,17,64,492,20069,18264,1805,275312088.401974,131791.41783,16,MEMORIAL
87,31352,12350,31352,18051,13301,13031,9669,1510,61,1681,18,92,270,22807,11778,11029,10866,8309,1024,52,1414,17,50,163,12350,10765,1585,229021374.493748,96562.357548,10,SPRING BRANCH WEST
88,7323,4015,7323,2121,5202,5018,2849,1471,19,649,8,22,184,5715,1484,4231,4113,2450,1113,17,511,7,15,118,4015,3523,492,653292432.188044,145118.396462,9,ADDICKS PARK TEN
